Main group;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
1;0;86,02;61,13;76,5;986,5;697,2;1318;1333;476,4;677;232,1;507;251,5;391,5;255,7;206,6;920,7;287,8;597;663,5;35,93;53,76;24,9;104,3;11,44;661,5;543;153,6;184,4;354,6;3025;335,8;479,5;298,9;526,5;689;4,189;125,8;485,3;2,859;387,1;450,4;252,7;220,3;5,869;390,9;553,3;187;216,1;92,99
2;35,36;0;38,81;74,15;524,1;787,6;270,6;526,1;182,6;448,8;37,85;333,5;214,5;240,9;163,9;61,11;749,3;280,5;336,9;318,9;36,87;58,55;13,99;109,7;100,1;357,5;;76,3;;262,9;;;183,8;31,14;179;52,87;66,46;359,3;70,45;449,4;48,33;;;86,46;;200,2;268,1;617;62,56;
3;11,12;3,446;0;167;636,1;637,4;903,8;1329;25,77;347,3;5,994;287,1;32,14;161,7;122,8;90,49;648,2;4,449;212,5;537,4;18,81;144,4;231,9;3;187;168;194,9;52,07;10,43;64,69;210,7;113,3;261,3;;169,9;383,9;259,1;389,3;245,6;22,67;103,5;432,3;238,9;30,04;88,11;;333,3;;59,58;39,16
4;69,7;113,6;146,8;0;803,2;603,3;5695;884,9;52,1;586,8;5688;197,8;213,1;19,02;49,29;23,5;664,2;52,8;6096;872,3;114,1;111;80,25;141,3;211;3629;4448;9,451;393,6;48,49;4975;259;210;;4284;119,2;282,5;101,4;5629;;69,26;;;46,38;;;421,9;;203,6;184,9
5;156,4;457;89,6;25,82;0;137,1;353,5;259,7;84;203,6;101,1;267,8;28,06;8,642;42,7;323;52,39;170;6,712;199;75,62;65,28;98,12;143,1;123,5;256,5;157,1;488,9;147,5;120,5;318,9;313,5;202,1;727,8;202,1;74,27;225,8;44,78;143,9;;190,3;817,7;;504,2;72,96;382,7;248,3;;104,7;57,65
6;16,51;12,52;50;44,5;249,1;0;181;101,7;23,39;306,4;10,72;179,7;128,6;359,3;20,98;53,9;489,7;580,5;53,28;202;38,32;102,5;139,4;44,76;28,25;75,14;;31,09;17,5;;119,2;212,1;106,3;;399,3;5,224;33,47;48,25;172,4;;165,7;;;;52,1;;;37,63;59,4;46,01
7;300;496,1;362,3;377,6;229,1;289,6;0;324,5;195,4;116;72,87;;540,5;48,89;168;304;243,2;459;112,6;14,09;325,4;370,4;353,7;497,5;133,9;220,6;399,5;887,1;;188;12,72;;;;139;160,8;;;319;;197,5;363,8;;452,2;;835,6;139,6;;407,9;
8;275,8;217,5;25,34;244,2;451,6;265,2;601,8;0;356,1;271,1;449,4;;162,9;;;;119,9;305,5;;408,9;;;;1827;6915;;;8484;;;687,1;;;;;;;;;;494,2;;;659;;;;;;1005
9;26,76;42,92;140,1;365,8;164,5;108,7;472,5;133,1;0;37,36;213,7;190,4;103,6;;174,2;169;6201;7,341;481,7;669,4;191,7;130,3;354,6;39,2;119,8;137,5;548,5;216,1;46,28;163,7;71,46;53,59;245,2;246,6;44,58;;34,57;;61,7;;18,8;588,9;;;;;37,54;;;162,6
10;505,7;56,3;23,39;106;529;340,2;480,8;155,6;128;0;110,3;766;304,1;;;;;;;497,5;751,9;67,52;483,7;;;;;;;;;117;;;;339,2;172,4;;268,8;;275,5;;;;;;;;;
11;114,8;132,1;85,84;170;245,4;249,6;200,8;36,72;372,2;185,1;0;241,8;235,7;;73,5;196,7;475,5;;494,6;660,2;34,74;108,9;209,7;54,57;442,4;81,13;;183;;202,3;101,7;148,3;18,88;;52,08;28,61;275,2;;85,33;;560,2;;;;;;151,8;;;
12;329,3;110,4;18,12;428;139,4;227,8;;;385,4;236,5;1167;0;234;;;;;233,4;47,25;268,1;;;126,2;179,7;24,28;;;;103,9;;;;;;;;11,4;;308,9;;122,3;;;;;;;;;
13;83,36;26,51;52,13;65,69;237,7;238,4;314,7;178,5;191,1;7,838;461,3;457,3;0;78,36;251,5;5422;;213,2;18,51;664,6;301,1;137,8;154,3;47,67;134,8;95,18;;140,9;8,538;170,1;20,11;149,5;202,3;;128,8;;240,2;274;254,8;;417;1338;;;;;;;;
14;30,48;1,163;44,85;296,4;242,8;481,7;330,4;;;;;;222,1;0;107,2;41,11;200,7;;358,9;;82,92;;;99,81;30,05;;;;70,14;;;;;;;;;;164;;;664,4;275,9;;;;;;;
15;65,33;28,7;22,31;223;150;370,3;448,2;;394,6;;136;;56,08;127,4;0;189,2;;;147,1;;;;;71,23;18,93;;;;;;;;;;;;;570,9;;;38,77;448,1;1327;;;;;;;
16;83,98;25,38;223,9;109,9;28,6;406,8;598,8;;225,3;;2889;;194,1;38,89;865,9;0;;;;;;73,85;352,9;262;181,9;;;;;;;;;;243,1;;;196,3;22,05;;;;;;;;;;;
17;1139;2000;247,5;762,8;17,4;118,1;341,6;253,1;450,3;;294,8;;;15,07;;;0;89,7;281,6;396;287;111;;882;617,5;;139,3;;;;0,1004;;;;;;;;334,4;;89,42;;;;;;;;;
18;101,6;47,63;31,87;49,8;132,3;378,2;332,9;341,6;29,1;;;554,4;156,1;;;;117,4;0;169,7;153,7;;351,6;114,7;205,3;;;2845;;;;;;60,78;;;;160,7;158,8;;;;;;;;;;;;136,6
19;24,82;40,62;22,97;138,4;185,4;162,6;242,8;;287,5;;266,6;99,37;38,81;157,3;108,5;;777,4;134,3;0;;4,933;152,7;15,62;54,86;4,624;0,515;;230,9;0,4604;;177,5;;62,17;203;;81,57;55,77;;151,5;;120,3;;;;;;16,23;;;
20;315,3;1264;62,32;89,86;151;339,8;66,17;11;297,8;165,5;256,3;193,9;338,5;;;;493,8;313,5;;0;13,41;44,7;39,63;183,4;79,08;;;;;208,9;;228,4;95;;463,6;;11,16;;228;;337;;;;;322,3;;;;
21;91,46;40,25;4,68;122,9;562,2;529;698,2;;286,3;47,51;35,38;;225,4;131,2;;;429,7;;54,32;519,1;0;108,3;249,6;62,42;153;32,73;86,2;450,1;59,02;;;;344,4;;;;168,2;;;;63,67;;;;;;;;;
22;34,01;23,5;121,3;140,8;527,6;669,9;708,7;;82,86;190,6;133;;197,7;;;141,4;140,8;587,3;258,6;543,3;84,53;0;0;56,33;223,1;108,9;;;;;;177,6;315,9;;215;;91,8;;;;96,87;;;;;;361,1;;;
23;36,7;51,06;288,5;69,9;742,1;649,1;826,8;;552,1;242,8;176,5;235,6;20,93;;;293,7;;18,98;74,04;504,2;157,1;0;0;30,1;192,1;;;116,6;;64,38;;86,4;;;363,7;;111,2;;;;255,8;;;35,68;;;;565,9;;
24;78,45;160,9;4,7;134,7;856,3;709,6;1201;10000;372;;129,5;351,9;113,9;261,1;91,13;316,9;898,2;368,5;492;631;11,8;17,97;51,9;0;75,97;490,9;534,7;132,2;;546,7;;247,8;146,6;;337,7;369,5;187,1;215,2;498,6;;256,5;;233,1;;;;423,1;63,95;;108,5
25;106,8;70,32;97,27;402,5;325,7;612,8;274,5;622,3;518,4;;171,1;383,3;25,15;108,5;102,2;2951;334,9;;363,5;993,4;129,7;8,309;0,2266;248,4;0;132,7;2213;;;;;;593,4;;;;;;;;71,18;;;209,7;;;434,1;;;
26;32,69;1,996;10,38;97,05;261,6;252,6;417,9;;142,6;;129,3;;94,49;;;;;;0,283;;113;9,639;;34,68;132,9;0;533,2;320,2;;;139,8;304,3;10,17;27,7;;;10,76;;223,1;;248,4;;;;218,9;;;;;4,565
