Main ;Secondary;Groups;Volume R;Surface Area Q
1;1;CH3;0,9011;0,848
1;2;CH2;0,6744;0,54
1;3;CH;0,4469;0,228
1;4;C;0,2195;0
2;5;CH2=CH;1,3454;1,176
2;6;CH=CH;1,1167;0,867
2;7;CH2=C;1,1173;0,988
2;8;CH=C;0,8886;0,676
2;70;C=C;0,6605;0,485
3;9;ACH;0,5313;0,4
3;10;AC;0,3652;0,12
4;11;ACCH3;1,2663;0,968
4;12;ACCH2;1,0396;0,66
4;13;ACCH;0,8121;0,348
5;14;OH;1;1,2
6;15;CH3OH;1,4311;1,432
7;16;H2O;0,92;1,4
8;17;ACOH;0,8952;0,68
9;18;CH3CO;1,6724;1,488
9;19;CH2CO;1,4457;1,18
10;20;CHO;0,998;0,948
11;21;CH3COO;1,9031;1,728
11;22;CH2COO;1,6764;1,42
12;23;HCOO;1,242;1,188
13;24;CH3O;1,145;1,088
13;25;CH2O;0,9183;0,78
13;26;CHO;0,6908;0,468
13;27;THF;0,9183;1,1
14;28;CH3NH2;1,5959;1,544
14;29;CH2NH2;1,3692;1,236
14;30;CHNH2;1,1417;0,924
15;31;CH3NH;1,4337;1,244
15;32;CH2NH;1,207;0,936
15;33;CHNH;0,9795;0,624
16;34;CH3N;1,1865;0,94
16;35;CH2N;0,9597;0,632
17;36;ACNH2;1,06;0,816
18;37;C5H5N;2,9993;2,113
18;38;C5H4N;2,8332;1,833
18;39;C5H3N;2,667;1,553
19;40;CH3CN;1,8701;1,724
19;41;CH2CN;1,6434;1,416
20;42;COOH;1,3013;1,224
20;43;HCOOH;1,528;1,532
21;44;CH2Cl;1,4654;1,264
21;45;CHCl;1,238;0,952
21;46;CCl;1,0106;0,724
22;47;CH2Cl2;2,2564;1,988
22;48;CHCl2;2,0606;1,684
22;49;CCl2;1,8016;1,448
23;50;CHCl3;2,87;2,41
23;51;CCl3;2,6401;2,184
24;52;CCl4;3,39;2,91
25;53;ACCl;1,1562;0,844
26;54;CH3NO2;2,0086;1,868
26;55;CH2NO2;1,7818;1,56
26;56;CHNO2;1,5544;1,248
27;57;ACNO2;1,4199;1,104
28;58;CS2;2,507;1,65
29;59;CH3SH ;1,877;1,676
29;60;CH2SH;1,651;1,368
30;61;Furfural;3,168;2,484
31;62;DOH;2,4088;2,248
32;63;I;1,264;0,992
33;64;Br;0,9492;0,832
34;65;CHΞC ;1,2929;1,088
34;66;CΞC;1,0613;0,784
35;67;DMSO;2,8266;2,472
36;68;Acrylonitrile;2,3144;2,052
37;69;Cl—(C=C);0,791;0,724
38;71;ACF;0,6948;0,524
39;72;DMF;3,0856;2,736
39;73;HCON(CH2)2;2,6322;2,12
40;74;CF3;1,406;1,38
40;75;CF2;1,0105;0,92
40;76;CF;0,615;0,46
41;77;COO;1,38;1,2
42;78;SiH3;1,6035;1,263
42;79;SiH2;1,4443;1,006
42;80;SiH;1,2853;0,749
42;81;Si;1,047;0,41
43;82;SiH2O;1,4838;1,062
43;83;SiHO;1,303;0,764
43;84;SiO;1,1044;0,466
44;85;NMP;3,981;3,2
45;86;CCl3F;3,0356;2,644
45;87;CCl2F;2,2287;1,916
45;88;HCCl2F;2,406;2,116
45;89;HCClF;1,6493;1,416
45;90;CClF2;1,8174;1,648
45;91;HCClF2;1,967;1,828
45;92;CClF3;2,1721;2,1
45;93;CCl2F2;2,6243;2,376
46;94;CONH2;1,4515;1,248
46;95;CONHCH3;2,1905;1,796
46;96;CONHCH2;1,9637;1,488
46;97;CON(CH3)2;2,8589;2,428
46;98;CONCH3CH2;2,6322;2,12
46;99;CON(CH2)2;2,4054;1,812
47;100;C2H5O2;2,1226;1,904
47;101;C2H4O2;1,8952;1,592
48;102;CH3S;1,613;1,368
48;103;CH2S;1,3863;1,06
48;104;CHS;1,1589;0,748
49;105;MORPH;3,474;2,796
50;106;C4H4S;2,8569;2,14
50;107;C4H3S;2,6908;1,86
50;108;C4H2S;2,5247;1,58
